"Product","SubCategory","Category","OrderDate","SalesAmount","Freight","Country","City","PostalCode"
"Mountain-400-W Silver, 42","Mountain Bikes","Bikes","2015-03-31 00:00:00","769.4900","19.2373","Australia","Melton","3337"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-03-31 00:00:00","2294.9900","57.3748","United Kingdom","London","W1N 9FA"
"Road-250 Black, 44","Road Bikes","Bikes","2015-03-31 00:00:00","2443.3500","61.0838","France","Colombes","92700"
"Mountain-400-W Silver, 40","Mountain Bikes","Bikes","2015-03-31 00:00:00","769.4900","19.2373","France","Paris","75008"
"Road-250 Black, 44","Road Bikes","Bikes","2015-03-31 00:00:00","2443.3500","61.0838","United States","Bellingham","98225"
"Mountain-400-W Silver, 40","Mountain Bikes","Bikes","2015-03-31 00:00:00","769.4900","19.2373","United States","La Jolla","92806"
"Mountain-500 Black, 44","Mountain Bikes","Bikes","2015-03-31 00:00:00","539.9900","13.4998","United States","Novato","94947"
"Mountain-400-W Silver, 46","Mountain Bikes","Bikes","2015-03-31 00:00:00","769.4900","19.2373","United States","Burlingame","94010"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-03-31 00:00:00","2319.9900","57.9998","United States","La Jolla","92806"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-03-31 00:00:00","2319.9900","57.9998","United States","Glendale","91203"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-03-31 00:00:00","2294.9900","57.3748","United States","Concord","94519"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-03-31 00:00:00","2319.9900","57.9998","United States","Burlingame","94010"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-03-31 00:00:00","2319.9900","57.9998","United States","Bellingham","98225"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-03-31 00:00:00","2294.9900","57.3748","United States","Burbank","91502"
"Road-550-W Yellow, 48","Road Bikes","Bikes","2015-03-31 00:00:00","1120.4900","28.0123","Australia","Silverwater","2264"
