"Product","SubCategory","Category","OrderDate","SalesAmount","Freight","Country","City","PostalCode"
"Road-250 Black, 48","Road Bikes","Bikes","2015-05-31 00:00:00","2443.3500","61.0838","Australia","North Sydney","2055"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-05-31 00:00:00","1700.9900","42.5248","United Kingdom","Maidenhead","SL67RJ"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-05-31 00:00:00","2319.9900","57.9998","France","Roissy en Brie","77680"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-05-31 00:00:00","2319.9900","57.9998","Germany","Berlin","14197"
"Road-250 Black, 58","Road Bikes","Bikes","2015-05-31 00:00:00","2443.3500","61.0838","United States","La Jolla","92806"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-05-31 00:00:00","2294.9900","57.3748","Canada","N. Vancouver","V7L 4J4"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-05-31 00:00:00","2319.9900","57.9998","United States","Beverly Hills","90210"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-05-31 00:00:00","2294.9900","57.3748","United States","Puyallup","98371"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-05-31 00:00:00","2319.9900","57.9998","United States","Walla Walla","99362"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-05-31 00:00:00","2319.9900","57.9998","Canada","Port Hammond","V6B 3P7"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-05-31 00:00:00","2294.9900","57.3748","United States","Puyallup","98371"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-05-31 00:00:00","2294.9900","57.3748","Canada","Cliffside","V8Y 1L1"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-05-31 00:00:00","2294.9900","57.3748","Canada","Metchosin","V9"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-05-31 00:00:00","2319.9900","57.9998","United States","Salem","97301"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-05-31 00:00:00","2319.9900","57.9998","United States","Berkeley","94704"
"Touring-2000 Blue, 46","Touring Bikes","Bikes","2015-05-31 00:00:00","1214.8500","30.3713","Germany","Berlin","14129"
"Touring-3000 Yellow, 44","Touring Bikes","Bikes","2015-05-31 00:00:00","742.3500","18.5588","France","Lille","59000"
